Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0045A","TR280141","GIRESUN","SPO-TR280141_5018","As in PM10","38.362000000","40.9072","13.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR280141_5018","3.5","m","","","","","","","","","","0","","","","","GIRESUN","","","","","","","","","","SPP-TR280141_5018_AS_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0045A","TR280141","GIRESUN","SPO-TR280141_5029","BaP in PM10","38.362000000","40.9072","13.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR280141_5029","3.5","m","","","","","","","","","","0","","","","","GIRESUN","","","","","","","","","","SPP-TR280141_5029_BAP_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0045A","TR280141","GIRESUN","SPO-TR280141_6001","PM2.5","38.362000000","40.9072","13.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR280141_6001","3.5","m","","","","","","","","","","0","","","","","GIRESUN","","","","","","","","","","SPP-TR280141_6001_PM2.5_HOR_","","","automatic","BETA","","","","","","","","no","","0","ug.m-3","In preparation","In preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0001","SO2","39.480900000","40.4608","1199.0","m","urban","background","05/04/2005 00:00:00","","SAM-TR290141_0001","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0001_SO2_MON_EUR_ML9850","","","automatic","UV-FL","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","60","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0005","PM10","39.480900000","40.4608","1199.0","m","urban","background","05/04/2005 00:00:00","","SAM-TR290141_0005","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0005_PM10_METONE_BAM1020","","","automatic","BETA","","","","","","","","no","","0","ug.m-3","In preparation","In preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0007","O3","39.480900000","40.4608","1199.0","m","urban","background","07/01/2016 19:00:00","","SAM-TR290141_0007","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0007_O3_MON_EUR_","","","automatic","UV-P","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0008","NO2","39.480900000","40.4608","1199.0","m","urban","background","07/01/2016 19:00:00","","SAM-TR290141_0008","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0008_NO2_MON_EUR_","","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0009","NOX as NO2","39.480900000","40.4608","1199.0","m","urban","background","07/01/2016 19:00:00","","SAM-TR290141_0009","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0009_NOX_MON_EUR_","","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0010","CO","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_0010","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0010_CO_MON_EUR_","","","automatic","NDIR","","","","","","","","ref","","0","mg.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_0020","C6H6","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_0020","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_0020_C6H6_MON_EUR_","","","passive","","","","","","","other","","ref","","0.05","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_5012","Pb in PM10","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_5012","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_5012_PB_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ug.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_5014","Cd in PM10","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_5014","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_5014_CD_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_5015","Ni in PM10","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_5015","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_5015_NI_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_5018","As in PM10","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_5018","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_5018_AS_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_5029","BaP in PM10","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_5029","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_5029_BAP_TECORA_2.3_AUTO","","","active","","","","","","","other","","ref","","2.5","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0046A","TR290141","GUMUSHANE","SPO-TR290141_6001","PM2.5","39.480900000","40.4608","1199.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR290141_6001","3.5","m","","","","","","","","","","0","","","","","GGUMGUSHANE","","","","","","","","","","SPP-TR290141_6001_PM2.5_MON_EUR_","","","automatic","BETA","","","","","","","","no","","0","ug.m-3","In preparation","In preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0001","SO2","43.738700000","37.5744","1726.0","m","urban","background","12/10/2006 00:00:00","","SAM-TR300141_0001","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0001_SO2_HOR_APSA370","","","automatic","UV-FL","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","60","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0005","PM10","43.738700000","37.5744","1726.0","m","urban","background","12/10/2006 00:00:00","","SAM-TR300141_0005","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0005_PM10_METONE_BAM1020","","","automatic","BETA","","","","","","","","no","","0","ug.m-3","In preparation","In preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0007","O3","43.738700000","37.5744","1726.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR300141_0007","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0007_O3_HOR_","","","automatic","UV-P","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0008","NO2","43.738700000","37.5744","1726.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR300141_0008","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0008_NO2_HOR_","","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0009","NOX as NO2","43.738700000","37.5744","1726.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR300141_0009","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0009_NOX_HOR_","","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0010","CO","43.738700000","37.5744","1726.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR300141_0010","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0010_CO_HOR_","","","automatic","NDIR","","","","","","","","ref","","0","mg.m-3","In preparation","In preparation","1","minute","60","minute","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
"Türkiye","TR.UHKIA.AQD","2022","NET-TR001A","Turkey Air Quality Network","UTC+03","TR0047A","TR300141","HAKKARI","SPO-TR300141_0020","C6H6","43.738700000","37.5744","1726.0","m","urban","background","01/01/2020 00:00:00","","SAM-TR300141_0020","3.5","m","","","","","","","","","","0","","","","","HAKKARI","","","","","","","","","","SPP-TR300141_0020_C6H6_HOR_","","","passive","","","","","","","other","","ref","","0.05","ng.m-3","In preparation","In preparation","1","day","1","day","http://cdr.eionet.europa.eu/tr/eu/aqd/d/envzra7jw/TR_Flow_D_2022_v1.xml","25/09/2023 14:00:05"
